,beta,error,beta,error,beta,error,beta,error,beta,error,beta,error,beta,error,beta,error,beta,error,beta,error
0,0.1,0.178971032,0.1,0.18138966,0.1,0.180271589,0.1,0.175470086,0.1,0.177836731,0.1,0.173579459,0.1,0.176568954,0.1,0.178624284,0.1,0.176005804,0.1,0.179443818
1,0.11,0.162881732,0.11,0.160716382,0.11,0.164434467,0.11,0.156627574,0.11,0.156775962,0.11,0.163005723,0.11,0.161686334,0.11,0.159192934,0.11,0.161220072,0.11,0.15962598
2,0.12,0.144387305,0.12,0.143899621,0.12,0.14496406,0.12,0.137668765,0.12,0.142526603,0.12,0.136348794,0.12,0.147018421,0.12,0.143200941,0.12,0.146272727,0.12,0.148349567
3,0.13,0.128224241,0.13,0.127801752,0.13,0.128176982,0.13,0.12948934,0.13,0.125826786,0.13,0.126995605,0.13,0.132747845,0.13,0.128304685,0.13,0.12883515,0.13,0.128279069
4,0.14,0.117780122,0.14,0.116032255,0.14,0.118584068,0.14,0.117561408,0.14,0.113952987,0.14,0.116506417,0.14,0.116164894,0.14,0.116640398,0.14,0.12072145,0.14,0.115557462
5,0.15,0.109052801,0.15,0.111208439,0.15,0.107941607,0.15,0.110076006,0.15,0.107296138,0.15,0.106692895,0.15,0.107195898,0.15,0.10607315,0.15,0.106227549,0.15,0.107361456
6,0.16,0.100531831,0.16,0.093801964,0.16,0.098272359,0.16,0.097851923,0.16,0.095928228,0.16,0.099340351,0.16,0.100700677,0.16,0.095863282,0.16,0.100220552,0.16,0.095174389
7,0.17,0.094959634,0.17,0.095356574,0.17,0.095511433,0.17,0.094234532,0.17,0.091569134,0.17,0.093027501,0.17,0.0919911,0.17,0.091615278,0.17,0.092444542,0.17,0.092700584
8,0.18,0.096524012,0.18,0.098035761,0.18,0.091731746,0.18,0.095484595,0.18,0.096630894,0.18,0.095210039,0.18,0.09630999,0.18,0.097192094,0.18,0.096205304,0.18,0.097828265
9,0.19,0.103953948,0.19,0.098944419,0.19,0.10290932,0.19,0.096355051,0.19,0.102554907,0.19,0.097565931,0.19,0.101636835,0.19,0.09906338,0.19,0.098301133,0.19,0.099861831
,0.2,0.100258181,0.2,0.106884104,0.2,0.100356898,0.2,0.103030868,0.2,0.101673859,0.2,0.102942263,0.2,0.104333807,0.2,0.100639384,0.2,0.102658603,0.2,0.099953671
,0.21,0.109181027,0.21,0.102269073,0.21,0.100321638,0.21,0.10307851,0.21,0.103184875,0.21,0.104770087,0.21,0.108775967,0.21,0.102973053,0.21,0.104929193,0.21,0.102375901
,0.22,0.117412415,0.22,0.118647262,0.22,0.120951956,0.22,0.116390709,0.22,0.122623883,0.22,0.121035017,0.22,0.113087032,0.22,0.12662308,0.22,0.123118016,0.22,0.122518651
,0.23,0.13453193,0.23,0.127428402,0.23,0.132432597,0.23,0.140203811,0.23,0.130241173,0.23,0.126823725,0.23,0.133787558,0.23,0.12579179,0.23,0.128849546,0.23,0.127384488
