,beta,error,beta,error,beta,error,beta,error,beta,error,beta,error,beta,error,beta,error,beta,error,beta,error
,0.24,0.093948035,0.24,0.092854155,0.24,0.102599853,0.24,0.10105288,0.24,0.093369855,0.24,0.095220929,0.24,0.099339153,0.24,0.101997634,0.24,0.09750636,0.24,0.102930733
,0.25,0.096325477,0.25,0.096719848,0.25,0.091270393,0.25,0.102115993,0.25,0.090563975,0.25,0.092671639,0.25,0.087950583,0.25,0.089630285,0.25,0.093223066,0.25,0.093289023
,0.26,0.08946422,0.26,0.093304748,0.26,0.095300594,0.26,0.091019085,0.26,0.092831795,0.26,0.086937879,0.26,0.092737536,0.26,0.094041554,0.26,0.090970345,0.26,0.093848177
,0.27,0.086256719,0.27,0.091628011,0.27,0.088339362,0.27,0.090233282,0.27,0.088033058,0.27,0.089696473,0.27,0.086292583,0.27,0.091519531,0.27,0.085412484,0.27,0.09409795
0,0.27,0.093861438,0.27,0.088948841,0.27,0.093682892,0.27,0.091466985,0.27,0.087122682,0.27,0.095171917,0.27,0.089322193,0.27,0.08969549,0.27,0.08836015,0.27,0.085043472
1,0.28,0.084621442,0.28,0.087112839,0.28,0.088784266,0.28,0.087432448,0.28,0.090680242,0.28,0.084201403,0.28,0.089271696,0.28,0.085743568,0.28,0.086224768,0.28,0.08882317
2,0.29,0.087687845,0.29,0.084091452,0.29,0.08559137,0.29,0.08533626,0.29,0.088108726,0.29,0.085360414,0.29,0.086034986,0.29,0.087438615,0.29,0.090354442,0.29,0.08443157
3,0.3,0.083037438,0.3,0.083543303,0.3,0.087454392,0.3,0.084207635,0.3,0.08285436,0.3,0.083471476,0.3,0.083262811,0.3,0.086879274,0.3,0.079843504,0.3,0.085569428
4,0.31,0.078621195,0.31,0.080064303,0.31,0.081169068,0.31,0.077039299,0.31,0.083315479,0.31,0.081193168,0.31,0.083031646,0.31,0.077932991,0.31,0.08604421,0.31,0.083713497
5,0.32,0.082305891,0.32,0.082094054,0.32,0.080757548,0.32,0.079325292,0.32,0.075858093,0.32,0.08392051,0.32,0.082506947,0.32,0.080939621,0.32,0.083091779,0.32,0.083046899
,0.33,0.082038721,0.33,0.081619847,0.33,0.078813469,0.33,0.080767439,0.33,0.082351648,0.33,0.082402299,0.33,0.082857547,0.33,0.085160037,0.33,0.082225602,0.33,0.084545379
,0.34,0.084856418,0.34,0.085551588,0.34,0.081761693,0.34,0.080019843,0.34,0.08491871,0.34,0.081788553,0.34,0.085161703,0.34,0.079837739,0.34,0.079829156,0.34,0.084820467
,0.35,0.086172969,0.35,0.085402593,0.35,0.086459414,0.35,0.083751752,0.35,0.083891671,0.35,0.085290905,0.35,0.081221427,0.35,0.082378386,0.35,0.085645224,0.35,0.08531765
,0.36,0.08599692,0.36,0.088508147,0.36,0.09063862,0.36,0.084131874,0.36,0.084685761,0.36,0.091831686,0.36,0.087792148,0.36,0.089301161,0.36,0.085833911,0.36,0.085211785
,0.37,0.087136036,0.37,0.091973708,0.37,0.089578801,0.37,0.097016051,0.37,0.095248307,0.37,0.089750228,0.37,0.08863368,0.37,0.089800512,0.37,0.090083268,0.37,0.093507437
,0.38,0.094765649,0.38,0.089980452,0.38,0.090669341,0.38,0.093560857,0.38,0.097644128,0.38,0.089484558,0.38,0.092526284,0.38,0.096050976,0.38,0.095765362,0.38,0.093273119
,0.39,0.098695976,0.39,0.094277681,0.39,0.099649235,0.39,0.098020084,0.39,0.098810943,0.39,0.093064794,0.39,0.096325928,0.39,0.091882684,0.39,0.09544322,0.39,0.09158162
,0.4,0.095939416,0.4,0.095714007,0.4,0.098941181,0.4,0.102352347,0.4,0.104093428,0.4,0.097780339,0.4,0.099045778,0.4,0.096455285,0.4,0.09618603,0.4,0.102004399
