,beta,error,beta,error,beta,error,beta,error,beta,error,beta,error,beta,error,beta,error,beta,error,beta,error
0,0.1,0.13711264,0.1,0.131009718,0.1,0.13849859,0.1,0.136352784,0.1,0.145995604,0.1,0.145825817,0.1,0.142645097,0.1,0.148179609,0.1,0.152927407,0.1,0.14200116
1,0.11,0.108872067,0.11,0.114311232,0.11,0.100804625,0.11,0.104521203,0.11,0.114919473,0.11,0.108983763,0.11,0.101659654,0.11,0.104094119,0.11,0.111529829,0.11,0.105943525
2,0.12,0.079837893,0.12,0.077319729,0.12,0.077782338,0.12,0.085709272,0.12,0.088319368,0.12,0.084253144,0.12,0.079982288,0.12,0.083976152,0.12,0.085688743,0.12,0.083023764
3,0.13,0.040098034,0.13,0.050835457,0.13,0.054739915,0.13,0.058671215,0.13,0.046991925,0.13,0.060076376,0.13,0.047356271,0.13,0.054800191,0.13,0.057425547,0.13,0.04576743
4,0.14,0.032511047,0.14,0.037792105,0.14,0.029929359,0.14,0.030496016,0.14,0.028038304,0.14,0.030586647,0.14,0.030302193,0.14,0.036230475,0.14,0.031886058,0.14,0.034467637
5,0.15,0.02380131,0.15,0.025622731,0.15,0.023680214,0.15,0.024370929,0.15,0.020237883,0.15,0.024221629,0.15,0.021444079,0.15,0.021261106,0.15,0.023394107,0.15,0.02308524
6,0.16,0.028761038,0.16,0.023258286,0.16,0.03026263,0.16,0.030794527,0.16,0.026343198,0.16,0.027208327,0.16,0.028924553,0.16,0.028995303,0.16,0.025621549,0.16,0.028804817
7,0.17,0.035128144,0.17,0.036920519,0.17,0.036721927,0.17,0.036694329,0.17,0.036033635,0.17,0.035969022,0.17,0.035249625,0.17,0.04381224,0.17,0.031788236,0.17,0.040424748
8,0.18,0.04871262,0.18,0.05129138,0.18,0.050355057,0.18,0.05384917,0.18,0.048393836,0.18,0.043145739,0.18,0.048800523,0.18,0.048847755,0.18,0.045455625,0.18,0.054027603
9,0.19,0.072460971,0.19,0.057212757,0.19,0.074181661,0.19,0.059004421,0.19,0.066241119,0.19,0.067063945,0.19,0.069629173,0.19,0.07079256,0.19,0.062406771,0.19,0.065599626
,0.2,0.071069269,0.2,0.094673305,0.2,0.071975083,0.2,0.077931974,0.2,0.073684868,0.2,0.089992379,0.2,0.073345673,0.2,0.085328487,0.2,0.079038042,0.2,0.077092054
,0.21,0.103958414,0.21,0.095846694,0.21,0.095889692,0.21,0.089624159,0.21,0.104160175,0.21,0.107239778,0.21,0.102538066,0.21,0.09905659,0.21,0.091674694,0.21,0.098919453
,0.22,0.114814865,0.22,0.106514726,0.22,0.10705153,0.22,0.115275124,0.22,0.111761413,0.22,0.11092983,0.22,0.117761434,0.22,0.1168738,0.22,0.108067504,0.22,0.118820269
,0.23,0.117638683,0.23,0.127708336,0.23,0.127958347,0.23,0.115554562,0.23,0.126215176,0.23,0.12782108,0.23,0.122210319,0.23,0.122213409,0.23,0.121940343,0.23,0.106940704
