,beta,error,beta,error,beta,error,beta,error,beta,error,beta,error,beta,error,beta,error,beta,error,beta,error
,0.12,0.099244615,0.12,0.101281547,0.12,0.09978058,0.12,0.099371034,0.12,0.100012503,0.12,0.103311908,0.12,0.098591724,0.12,0.10225648,0.12,0.098989227,0.12,0.095490647
,0.13,0.076066976,0.13,0.076630817,0.13,0.07438636,0.13,0.079829465,0.13,0.08479894,0.13,0.076072619,0.13,0.080191572,0.13,0.082268367,0.13,0.078239585,0.13,0.079855438
,0.14,0.068617799,0.14,0.069012306,0.14,0.069441588,0.14,0.069918943,0.14,0.069552332,0.14,0.071037254,0.14,0.069332214,0.14,0.068839658,0.14,0.069241543,0.14,0.069322238
,0.15,0.068548076,0.15,0.069709061,0.15,0.069712055,0.15,0.068432782,0.15,0.06875306,0.15,0.070418015,0.15,0.072101727,0.15,0.070662743,0.15,0.069815704,0.15,0.069479098
,0.16,0.074688264,0.16,0.076556801,0.16,0.074498536,0.16,0.071678541,0.16,0.075108993,0.16,0.072665881,0.16,0.073422334,0.16,0.076773223,0.16,0.07208507,0.16,0.07307956
0,0.17,0.081069559,0.17,0.083074388,0.17,0.079417635,0.17,0.075983009,0.17,0.083526755,0.17,0.080198956,0.17,0.082539112,0.17,0.081964107,0.17,0.079839339,0.17,0.080945704
1,0.18,0.088975795,0.18,0.085057188,0.18,0.089285705,0.18,0.092011919,0.18,0.089683175,0.18,0.085984149,0.18,0.090054245,0.18,0.087891087,0.18,0.089052469,0.18,0.090229982
2,0.19,0.092617899,0.19,0.100115646,0.19,0.096178108,0.19,0.095643102,0.19,0.093815411,0.19,0.092901681,0.19,0.095082791,0.19,0.093289911,0.19,0.096090725,0.19,0.090756983
3,0.2,0.102250793,0.2,0.096174056,0.2,0.103004028,0.2,0.103394775,0.2,0.102236875,0.2,0.099505367,0.2,0.102856753,0.2,0.100038946,0.2,0.102587284,0.2,0.101518112
4,0.21,0.11615093,0.21,0.109874095,0.21,0.114426184,0.21,0.114082032,0.21,0.112965718,0.21,0.110733916,0.21,0.110713888,0.21,0.116544421,0.21,0.103918695,0.21,0.12504056
5,0.22,0.120791372,0.22,0.130759939,0.22,0.119808852,0.22,0.111976265,0.22,0.129526166,0.22,0.111360103,0.22,0.126225736,0.22,0.124740312,0.22,0.121900811,0.22,0.124985821
6,0.23,0.135564518,0.23,0.139105474,0.23,0.143378465,0.23,0.135571927,0.23,0.133518051,0.23,0.142247522,0.23,0.131258359,0.23,0.144700383,0.23,0.147465934,0.23,0.132521308
7,0.24,0.146330825,0.24,0.145019432,0.24,0.15445533,0.24,0.148714608,0.24,0.147704404,0.24,0.152081143,0.24,0.14992286,0.24,0.157188533,0.24,0.154257293,0.24,0.154799957
8,0.25,0.153952585,0.25,0.167194252,0.25,0.161801235,0.25,0.167268841,0.25,0.168690978,0.25,0.166106647,0.25,0.15804253,0.25,0.175341403,0.25,0.149775485,0.25,0.147928614
9,0.26,0.165142204,0.26,0.167046867,0.26,0.174799878,0.26,0.191777757,0.26,0.173554373,0.26,0.179027017,0.26,0.173995356,0.26,0.177670854,0.26,0.166884737,0.26,0.161484606
,0.27,0.188290853,0.27,0.189654918,0.27,0.180207267,0.27,0.182847592,0.27,0.181502716,0.27,0.18112962,0.27,0.181580238,0.27,0.184466432,0.27,0.182023584,0.27,0.189389439
,0.28,0.19005968,0.28,0.187958407,0.28,0.192075944,0.28,0.188224089,0.28,0.188343609,0.28,0.188233336,0.28,0.188266316,0.28,0.188978336,0.28,0.203425257,0.28,0.198966244
,0.29,0.198953365,0.29,0.203231322,0.29,0.203349169,0.29,0.202344132,0.29,0.191467458,0.29,0.200739059,0.29,0.190645032,0.29,0.194216599,0.29,0.205804302,0.29,0.211888307
