,beta,error,beta,error,beta,error,beta,error,beta,error,beta,error,beta,error,beta,error,beta,error,beta,error
0,0.06,0.464809299,0.06,0.474682989,0.06,0.473313419,0.06,0.458844973,0.06,0.476854802,0.06,0.464532373,0.06,0.464584163,0.06,0.466218051,0.06,0.464440888,0.06,0.469089811
1,0.07,0.414383783,0.07,0.41410183,0.07,0.426712367,0.07,0.41628965,0.07,0.411370134,0.07,0.41981714,0.07,0.41543906,0.07,0.418092182,0.07,0.425051883,0.07,0.422233779
2,0.08,0.37406208,0.08,0.369821587,0.08,0.360780772,0.08,0.371292821,0.08,0.374092713,0.08,0.372139669,0.08,0.374057423,0.08,0.379689232,0.08,0.364236364,0.08,0.372191869
3,0.09,0.324421753,0.09,0.339378978,0.09,0.336511593,0.09,0.344679251,0.09,0.331808909,0.09,0.341198366,0.09,0.336346268,0.09,0.344323897,0.09,0.330897685,0.09,0.338388111
4,0.1,0.298101381,0.1,0.302567666,0.1,0.303223031,0.1,0.302361287,0.1,0.298054783,0.1,0.288278623,0.1,0.305618273,0.1,0.298003577,0.1,0.299331193,0.1,0.298917003
5,0.11,0.278509876,0.11,0.269443745,0.11,0.278014188,0.11,0.2844297,0.11,0.262976463,0.11,0.267525857,0.11,0.262002575,0.11,0.261233861,0.11,0.269080385,0.11,0.265171978
6,0.12,0.227596046,0.12,0.241141259,0.12,0.236059712,0.12,0.240114589,0.12,0.23362557,0.12,0.24008545,0.12,0.236271668,0.12,0.241772373,0.12,0.24095869,0.12,0.236668918
7,0.13,0.208840962,0.13,0.217231855,0.13,0.20816327,0.13,0.208706531,0.13,0.207708442,0.13,0.21352221,0.13,0.207855055,0.13,0.209101398,0.13,0.208335349,0.13,0.217387103
8,0.14,0.198767436,0.14,0.201280501,0.14,0.185993445,0.14,0.191642115,0.14,0.188777432,0.14,0.19154422,0.14,0.18424892,0.14,0.191017657,0.14,0.184872943,0.14,0.186125144
,0.15,0.159078641,0.15,0.159460776,0.15,0.161760333,0.15,0.158935941,0.15,0.157739341,0.15,0.170442855,0.15,0.175543058,0.15,0.161666168,0.15,0.160517163,0.15,0.170006818
,0.16,0.143544208,0.16,0.147032799,0.16,0.144326471,0.16,0.138528825,0.16,0.125491191,0.16,0.139136693,0.16,0.143722895,0.16,0.147368726,0.16,0.13618746,0.16,0.150722676
,0.17,0.121920719,0.17,0.133676405,0.17,0.128119534,0.17,0.13480604,0.17,0.119723223,0.17,0.129785406,0.17,0.125658418,0.17,0.127528388,0.17,0.124826317,0.17,0.129138224
,0.25,0.024321809,0.25,0.02547449,0.25,0.030172784,0.25,0.02557585,0.25,0.0327785,0.25,0.029883994,0.25,0.023650261,0.25,0.026531929,0.25,0.024810532,0.25,0.025107369
,0.26,0.025379956,0.26,0.025531401,0.26,0.025841865,0.26,0.025686219,0.26,0.02550704,0.26,0.024047175,0.26,0.024485725,0.26,0.024067027,0.26,0.026444268,0.26,0.024003495
,0.27,0.025316808,0.27,0.024002521,0.27,0.025757886,0.27,0.023319828,0.27,0.025312741,0.27,0.025689271,0.27,0.02567575,0.27,0.024451572,0.27,0.026740392,0.27,0.025067687
,0.28,0.025155225,0.28,0.023728676,0.28,0.022936082,0.28,0.025485461,0.28,0.024384758,0.28,0.026741908,0.28,0.025720585,0.28,0.025802924,0.28,0.032040984,0.28,0.028260198
,0.29,0.03792788,0.29,0.028770478,0.29,0.033180499,0.29,0.032686798,0.29,0.030668065,0.29,0.035361787,0.29,0.033334703,0.29,0.023829448,0.29,0.03840059,0.29,0.032386507
,0.3,0.033011793,0.3,0.037556068,0.3,0.038772284,0.3,0.039634251,0.3,0.047350964,0.3,0.041174609,0.3,0.03198369,0.3,0.041967867,0.3,0.031605332,0.3,0.038229588
,0.31,0.044447054,0.31,0.045054643,0.31,0.042934539,0.31,0.042744072,0.31,0.041793428,0.31,0.053015261,0.31,0.041934334,0.31,0.048688728,0.31,0.042892104,0.31,0.043460207
,0.32,0.046242947,0.32,0.064724916,0.32,0.04766103,0.32,0.06232339,0.32,0.050104582,0.32,0.049367284,0.32,0.053480918,0.32,0.061730747,0.32,0.057454363,0.32,0.057584784
,0.33,0.053978596,0.33,0.055207882,0.33,0.057904784,0.33,0.063065096,0.33,0.065910709,0.33,0.061685659,0.33,0.054077894,0.33,0.065037111,0.33,0.054909176,0.33,0.059735003
,0.34,0.069317642,0.34,0.077579264,0.34,0.074641932,0.34,0.063777375,0.34,0.073504447,0.34,0.069982932,0.34,0.072696187,0.34,0.061977632,0.34,0.070798367,0.34,0.070072788
