,beta,error,beta,error,beta,error,beta,error,beta,error,beta,error,beta,error,beta,error,beta,error,beta,error
0,0.06,0.176075809,0.06,0.174963664,0.06,0.166336449,0.06,0.164099539,0.06,0.175387324,0.06,0.171733361,0.06,0.179345125,0.06,0.169864831,0.06,0.16929877,0.06,0.175019724
1,0.07,0.127161276,0.07,0.12483967,0.07,0.124099634,0.07,0.130285693,0.07,0.126893276,0.07,0.126339495,0.07,0.129136806,0.07,0.123281466,0.07,0.123581122,0.07,0.130449664
2,0.08,0.09866825,0.08,0.101145235,0.08,0.101597993,0.08,0.102651747,0.08,0.101206644,0.08,0.10188707,0.08,0.098747456,0.08,0.102998809,0.08,0.102281643,0.08,0.102477397
3,0.09,0.084884423,0.09,0.085927868,0.09,0.085928368,0.09,0.085031814,0.09,0.083568784,0.09,0.085850954,0.09,0.083636372,0.09,0.086696322,0.09,0.081378406,0.09,0.08680926
4,0.1,0.068782788,0.1,0.071138953,0.1,0.068973833,0.1,0.067439696,0.1,0.070136908,0.1,0.06879153,0.1,0.068691016,0.1,0.06932636,0.1,0.068284698,0.1,0.067863461
5,0.11,0.05651311,0.11,0.054436053,0.11,0.056085811,0.11,0.056092395,0.11,0.058883138,0.11,0.052881828,0.11,0.054266317,0.11,0.055053467,0.11,0.055787137,0.11,0.056608295
,0.12,0.059179659,0.12,0.053076408,0.12,0.05765307,0.12,0.055769219,0.12,0.057183543,0.12,0.049792859,0.12,0.054168959,0.12,0.054445851,0.12,0.052690038,0.12,0.052201855
,0.13,0.078458856,0.13,0.08527655,0.13,0.087900411,0.13,0.092428564,0.13,0.084764438,0.13,0.084367683,0.13,0.080242802,0.13,0.08522757,0.13,0.078022377,0.13,0.081452639
,0.14,0.104909224,0.14,0.111130947,0.14,0.106212565,0.14,0.09872975,0.14,0.102189313,0.14,0.10449245,0.14,0.107036043,0.14,0.105739261,0.14,0.105532548,0.14,0.10895398
,0.15,0.130454447,0.15,0.128718305,0.15,0.1332892,0.15,0.124073859,0.15,0.129498704,0.15,0.122567384,0.15,0.124612579,0.15,0.126865024,0.15,0.132117898,0.15,0.135414298
,0.16,0.137916033,0.16,0.145410151,0.16,0.141581265,0.16,0.149048467,0.16,0.147797998,0.16,0.142581265,0.16,0.144187758,0.16,0.15408447,0.16,0.157696124,0.16,0.153802362
