,beta,error,beta,error,beta,error,beta,error,beta,error,beta,error,beta,error,beta,error,beta,error,beta,error
0,0.05,0.328472688,0.05,0.328610043,0.05,0.326586795,0.05,0.322314,0.05,0.326002325,0.05,0.327766148,0.05,0.331122617,0.05,0.332746735,0.05,0.323690071,0.05,0.324115867
1,0.06,0.275825981,0.06,0.274373552,0.06,0.277491574,0.06,0.278650538,0.06,0.282044934,0.06,0.277895935,0.06,0.273484292,0.06,0.271428795,0.06,0.278183543,0.06,0.27557195
2,0.07,0.23832892,0.07,0.232646204,0.07,0.233093969,0.07,0.237957638,0.07,0.23552494,0.07,0.235571428,0.07,0.235928851,0.07,0.238040166,0.07,0.23462433,0.07,0.235979844
3,0.08,0.214693976,0.08,0.214906815,0.08,0.216868699,0.08,0.214735761,0.08,0.214708901,0.08,0.214433468,0.08,0.218750979,0.08,0.215005567,0.08,0.216814458,0.08,0.214151902
4,0.09,0.197865725,0.09,0.196879385,0.09,0.197572632,0.09,0.199348597,0.09,0.197456076,0.09,0.198731477,0.09,0.200059724,0.09,0.199348921,0.09,0.196266163,0.09,0.197712004
5,0.1,0.18575312,0.1,0.183869972,0.1,0.182691832,0.1,0.183935692,0.1,0.186091916,0.1,0.183744994,0.1,0.185295321,0.1,0.182686322,0.1,0.18144329,0.1,0.187613718
6,0.11,0.182129187,0.11,0.186445238,0.11,0.185300363,0.11,0.18284214,0.11,0.182535593,0.11,0.180118909,0.11,0.1880268,0.11,0.184867042,0.11,0.179496689,0.11,0.182413009
7,0.12,0.194611178,0.12,0.194783207,0.12,0.193860162,0.12,0.194049675,0.12,0.190915218,0.12,0.194280461,0.12,0.193218658,0.12,0.195585756,0.12,0.190727034,0.12,0.197729509
8,0.13,0.205110653,0.13,0.207858808,0.13,0.205657655,0.13,0.20649015,0.13,0.203847786,0.13,0.205011399,0.13,0.204362521,0.13,0.203434947,0.13,0.203215865,0.13,0.207214924
9,0.14,0.214231479,0.14,0.211603172,0.14,0.216267963,0.14,0.214289833,0.14,0.215605318,0.14,0.209667616,0.14,0.216549339,0.14,0.214281137,0.14,0.214471238,0.14,0.213295455
,0.15,0.224897959,0.15,0.221100467,0.15,0.220529106,0.15,0.228503639,0.15,0.22053524,0.15,0.221009956,0.15,0.22794437,0.15,0.222646047,0.15,0.223808007,0.15,0.225829874
,0.16,0.229554743,0.16,0.225854324,0.16,0.229600868,0.16,0.231222014,0.16,0.228679652,0.16,0.23583952,0.16,0.2296966,0.16,0.227985052,0.16,0.231781446,0.16,0.232202185
,0.17,0.235896283,0.17,0.234549289,0.17,0.238493424,0.17,0.239381229,0.17,0.238065964,0.17,0.235748495,0.17,0.234057383,0.17,0.235418868,0.17,0.238591038,0.17,0.239377139
