,beta,error,beta,error,beta,error,beta,error,beta,error,beta,error,beta,error,beta,error,beta,error,beta,error
,0.02,0.35425808,0.02,0.354357804,0.02,0.355018337,0.02,0.35165193,0.02,0.352808269,0.02,0.351236371,0.02,0.351135389,0.02,0.350079711,0.02,0.353546114,0.02,0.353225445
,0.03,0.259536485,0.03,0.258876594,0.03,0.264162196,0.03,0.259735659,0.03,0.258758377,0.03,0.259339571,0.03,0.265453558,0.03,0.254550086,0.03,0.262927075,0.03,0.256224068
,0.04,0.193493084,0.04,0.188380792,0.04,0.191267258,0.04,0.184256897,0.04,0.183043123,0.04,0.184126899,0.04,0.183745537,0.04,0.189759595,0.04,0.188984947,0.04,0.189058632
,0.05,0.128722742,0.05,0.1293489,0.05,0.136342765,0.05,0.134748907,0.05,0.129861791,0.05,0.132343504,0.05,0.135109745,0.05,0.128523511,0.05,0.126330464,0.05,0.134561494
0,0.06,0.105170544,0.06,0.10300938,0.06,0.105177157,0.06,0.104184296,0.06,0.108099762,0.06,0.108458239,0.06,0.106860158,0.06,0.105689455,0.06,0.102931467,0.06,0.104290661
1,0.07,0.08427838,0.07,0.082027576,0.07,0.081517807,0.07,0.083009972,0.07,0.08293892,0.07,0.07937847,0.07,0.083595971,0.07,0.080774733,0.07,0.081963605,0.07,0.085243713
2,0.08,0.086744815,0.08,0.088327711,0.08,0.081147903,0.08,0.085084718,0.08,0.08159235,0.08,0.081621682,0.08,0.086401999,0.08,0.09091944,0.08,0.090205941,0.08,0.085739843
3,0.09,0.134742943,0.09,0.12202641,0.09,0.119208721,0.09,0.124653657,0.09,0.125681204,0.09,0.128913493,0.09,0.13479684,0.09,0.123779762,0.09,0.124171356,0.09,0.122015434
4,0.1,0.164931438,0.1,0.1599958,0.1,0.164403768,0.1,0.165360509,0.1,0.158808919,0.1,0.170772939,0.1,0.165846938,0.1,0.162844607,0.1,0.170264263,0.1,0.158548061
5,0.11,0.197468213,0.11,0.205144687,0.11,0.189485402,0.11,0.181819424,0.11,0.187804903,0.11,0.194312078,0.11,0.198650287,0.11,0.190417401,0.11,0.186775792,0.11,0.185205928
6,0.12,0.213133361,0.12,0.203817945,0.12,0.221847766,0.12,0.229288902,0.12,0.224123195,0.12,0.220097043,0.12,0.230672686,0.12,0.229195363,0.12,0.222531709,0.12,0.212370161
7,0.13,0.249227481,0.13,0.248429211,0.13,0.250500289,0.13,0.244293791,0.13,0.244313871,0.13,0.245507537,0.13,0.246160511,0.13,0.244242265,0.13,0.240822704,0.13,0.248059148
8,0.14,0.275604759,0.14,0.263556809,0.14,0.264999436,0.14,0.275453327,0.14,0.267698848,0.14,0.276370894,0.14,0.276679669,0.14,0.271706743,0.14,0.282898038,0.14,0.268039957
