,beta,error,beta,error,beta,error,beta,error,beta,error,beta,error,beta,error,beta,error,beta,error,beta,error
0,0.06,0.200496608,0.06,0.205020427,0.06,0.195250298,0.06,0.200124401,0.06,0.199667387,0.06,0.199604402,0.06,0.196405564,0.06,0.199400692,0.06,0.198054473,0.06,0.197945379
1,0.07,0.160120664,0.07,0.160073472,0.07,0.155713719,0.07,0.15510773,0.07,0.153919832,0.07,0.158501283,0.07,0.159654818,0.07,0.152171307,0.07,0.158898818,0.07,0.161104368
2,0.08,0.124566307,0.08,0.125014752,0.08,0.118324155,0.08,0.123233093,0.08,0.119822817,0.08,0.129603446,0.08,0.120260875,0.08,0.126228431,0.08,0.122210521,0.08,0.126057578
3,0.09,0.092517042,0.09,0.099559933,0.09,0.083884495,0.09,0.089009826,0.09,0.0946303,0.09,0.094392319,0.09,0.083048092,0.09,0.09371289,0.09,0.088756662,0.09,0.086835536
4,0.1,0.054475675,0.1,0.05580122,0.1,0.064939566,0.1,0.064206587,0.1,0.057317808,0.1,0.063675618,0.1,0.060573724,0.1,0.063347582,0.1,0.066894574,0.1,0.062522896
5,0.11,0.047208239,0.11,0.047798306,0.11,0.049597624,0.11,0.048777367,0.11,0.047690347,0.11,0.047795909,0.11,0.048800828,0.11,0.047283539,0.11,0.046988964,0.11,0.046823481
6,0.12,0.053297737,0.12,0.055127508,0.12,0.053751947,0.12,0.056809061,0.12,0.053512783,0.12,0.056605932,0.12,0.060320728,0.12,0.05461682,0.12,0.050128488,0.12,0.05039858
7,0.13,0.064495074,0.13,0.063622533,0.13,0.063690592,0.13,0.0712286,0.13,0.067102338,0.13,0.064801103,0.13,0.061512414,0.13,0.065175555,0.13,0.06746716,0.13,0.06326436
,0.14,0.090956222,0.14,0.079084279,0.14,0.090102565,0.14,0.086290572,0.14,0.091546068,,,,,,,,,,
,0.15,0.11276118,0.15,0.101989129,0.15,0.099740235,0.15,0.108022256,0.15,0.117218353,,,,,,,,,,
,0.16,0.130436837,0.16,0.122561346,0.16,0.123288215,0.16,0.134057104,0.16,0.128543138,,,,,,,,,,
,0.17,0.152784705,0.17,0.145208707,0.17,0.143466602,0.17,0.153440868,0.17,0.149702806,,,,,,,,,,
,0.18,0.162142614,0.18,0.166775095,0.18,0.159150895,0.18,0.164444379,0.18,0.16258093,,,,,,,,,,
,0.19,0.189971735,0.19,0.168889242,0.19,0.177014562,0.19,0.18326547,0.19,0.183478407,,,,,,,,,,
